Event start date;Actor specified;Actor specified 1;Actor specified 2;Actor 1;Actor 2;Oblast number;Year
18.01.2012;CPU, Slavic Guard, Cossacks;Slavic Guard;Cossacks;745;199;8;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Proryv;668;656;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Kyivska Rus' (party);668;467;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Eurasian people's union;668;259;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;All-Ukrainian Union of Russian Compatriots;668;19;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Confederation of labor of Ukraine;668;184;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Gift of Life;668;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;PSPU;Sobor of orthodox women;668;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;Kyivska Rus' (party);656;467;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;Eurasian people's union;656;259;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;All-Ukrainian Union of Russian Compatriots;656;19;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;Confederation of labor of Ukraine;656;184;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;Gift of Life;656;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Proryv;Sobor of orthodox women;656;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Kyivska Rus' (party);Eurasian people's union;467;259;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Kyivska Rus' (party);All-Ukrainian Union of Russian Compatriots;467;19;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Kyivska Rus' (party);Confederation of labor of Ukraine;467;184;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Kyivska Rus' (party);Gift of Life;467;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Kyivska Rus' (party);Sobor of orthodox women;467;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Eurasian people's union;All-Ukrainian Union of Russian Compatriots;259;19;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Eurasian people's union;Confederation of labor of Ukraine;259;184;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Eurasian people's union;Gift of Life;259;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Eurasian people's union;Sobor of orthodox women;259;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;All-Ukrainian Union of Russian Compatriots;Confederation of labor of Ukraine;19;184;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;All-Ukrainian Union of Russian Compatriots;Gift of Life;19;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;All-Ukrainian Union of Russian Compatriots;Sobor of orthodox women;19;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Confederation of labor of Ukraine;Gift of Life;184;353;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Confederation of labor of Ukraine;Sobor of orthodox women;184;762;1;2012
20.01.2012;PSPU, Proryv, Kyivska Rus' (party), Eurasian people's union, All-Ukrainian Union of Russian Compatriots, Confederation of labor of Ukraine, Gift of Life, Sobor of orthodox women;Gift of Life;Sobor of orthodox women;353;762;1;2012
22.01.2012;BYT, Svoboda, FoC, NRU;BYT;Svoboda;103;823;23;2012
22.01.2012;BYT, Svoboda, FoC, NRU;BYT;FoC;103;290;23;2012
22.01.2012;BYT, Svoboda, FoC, NRU;BYT;NRU;103;572;23;2012
22.01.2012;BYT, Svoboda, FoC, NRU;Svoboda;FoC;823;290;23;2012
22.01.2012;BYT, Svoboda, FoC, NRU;Svoboda;NRU;823;572;23;2012
22.01.2012;BYT, Svoboda, FoC, NRU;FoC;NRU;290;572;23;2012
22.01.2012;BYT, KUN, UNP, FoC;BYT;KUN;103;454;1;2012
22.01.2012;BYT, KUN, UNP, FoC;BYT;UNP;103;969;1;2012
22.01.2012;BYT, KUN, UNP, FoC;BYT;FoC;103;290;1;2012
22.01.2012;BYT, KUN, UNP, FoC;KUN;UNP;454;969;1;2012
22.01.2012;BYT, KUN, UNP, FoC;KUN;FoC;454;290;1;2012
22.01.2012;BYT, KUN, UNP, FoC;UNP;FoC;969;290;1;2012
22.01.2012;KUPR, BYT;KUPR;BYT;455;103;24;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;UDAR;103;873;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;Civic Position;103;162;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;Svoboda;103;823;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;NRU;103;572;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;KUN;103;454;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;BYT;Prosvita;103;658;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;UDAR;Civic Position;873;162;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;UDAR;Svoboda;873;823;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;UDAR;NRU;873;572;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;UDAR;KUN;873;454;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;UDAR;Prosvita;873;658;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Civic Position;Svoboda;162;823;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Civic Position;NRU;162;572;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Civic Position;KUN;162;454;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Civic Position;Prosvita;162;658;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Svoboda;NRU;823;572;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Svoboda;KUN;823;454;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;Svoboda;Prosvita;823;658;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;NRU;KUN;572;454;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;NRU;Prosvita;572;658;5;2012
22.01.2012;BYT, UDAR, Civic Position, Svoboda, NRU, KUN, Prosvita;KUN;Prosvita;454;658;5;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;BYT;NRU;103;572;20;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;BYT;PRP (Reforms and Order);103;667;20;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;BYT;Civic Position;103;162;20;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;NRU;PRP (Reforms and Order);572;667;20;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;NRU;Civic Position;572;162;20;2012
22.01.2012;BYT, NRU, PRP (Reforms and Order), Civic Position;PRP (Reforms and Order);Civic Position;667;162;20;2012
22.01.2012;Svoboda, Ukrainian Peoples Party (UNP);Svoboda;Ukrainian Peoples Party (UNP);823;903;20;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;BYT;823;103;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;FoC;823;290;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;PRP (Reforms and Order);823;667;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;Ukrainian Social Democratic party;823;908;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;Civic Position;823;162;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;UDAR;823;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;NRU;823;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Svoboda;Our Ukraine;823;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;FoC;103;290;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;PRP (Reforms and Order);103;667;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;Ukrainian Social Democratic party;103;908;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;Civic Position;103;162;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;UDAR;103;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;NRU;103;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;BYT;Our Ukraine;103;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;PRP (Reforms and Order);290;667;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;Ukrainian Social Democratic party;290;908;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;Civic Position;290;162;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;UDAR;290;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;NRU;290;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;FoC;Our Ukraine;290;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;PRP (Reforms and Order);Ukrainian Social Democratic party;667;908;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;PRP (Reforms and Order);Civic Position;667;162;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;PRP (Reforms and Order);UDAR;667;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;PRP (Reforms and Order);NRU;667;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;PRP (Reforms and Order);Our Ukraine;667;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Ukrainian Social Democratic party;Civic Position;908;162;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Ukrainian Social Democratic party;UDAR;908;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Ukrainian Social Democratic party;NRU;908;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Ukrainian Social Democratic party;Our Ukraine;908;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Civic Position;UDAR;162;873;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Civic Position;NRU;162;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;Civic Position;Our Ukraine;162;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;UDAR;NRU;873;572;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;UDAR;Our Ukraine;873;604;10;2012
22.01.2012;Svoboda, BYT, FoC, PRP (Reforms and Order), Ukrainian Social Democratic party, Civic Position, UDAR, NRU, Our Ukraine;NRU;Our Ukraine;572;604;10;2012
22.01.2012;KUPR, BYT;KUPR;BYT;455;103;12;2012
22.01.2012;FoC, National Alliance;FoC;National Alliance;290;540;3;2012
22.01.2012;Open Society, MNK;Open Society;Youth nationalist congress (MNK);583;1055;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;BYT;Svoboda;103;823;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;BYT;NRU;103;572;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;BYT;UNA-UNSO;103;920;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;Svoboda;NRU;823;572;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;Svoboda;UNA-UNSO;823;920;18;2012
22.01.2012;BYT, Svoboda, NRU, UNA-UNSO;NRU;UNA-UNSO;572;920;18;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;KUN;UNP;454;969;7;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;KUN;Sobor party;454;763;7;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;KUN;Our Ukraine;454;604;7;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;UNP;Sobor party;969;763;7;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;UNP;Our Ukraine;969;604;7;2012
22.01.2012;KUN, UNP, Sobor party, Our Ukraine;Sobor party;Our Ukraine;763;604;7;2012
22.01.2012;Patriot of Ukraine, Patriots' March, Svoboda;Patriot of Ukraine;Svoboda;614;823;6;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;Left Opposition;Borotba;477;93;15;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;Left Opposition;RKAS;477;694;15;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;Left Opposition;Proty Techii;477;666;15;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;Borotba;RKAS;93;694;15;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;Borotba;Proty Techii;93;666;15;2012
23.01.2012;Left Opposition, Borotba, RKAS, Proty Techii;RKAS;Proty Techii;694;666;15;2012
24.01.2012;Civic congress, Small business and MAF Association;Civic congress;Small business and MAF Association;150;750;10;2012
24.01.2012;KUPR, Black Committee;KUPR;Black Committee;455;85;10;2012
25.01.2012;Union for Donbas Rescue, FoC;Union for Donbas Rescue;FoC;925;290;5;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;CPU;PSPU;208;668;1;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;CPU;Soviet Officers union of Ukraine;208;775;1;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;CPU;War Children;208;1000;1;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;PSPU;Soviet Officers union of Ukraine;668;775;1;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;PSPU;War Children;668;1000;1;2012
26.01.2012;CPU, PSPU, Soviet Officers union of Ukraine, War Children;Soviet Officers union of Ukraine;War Children;775;1000;1;2012
29.01.2012;Svoboda, Sokil;Svoboda;Sokil;823;768;23;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;Svoboda;For Ukraine;823;310;25;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;Svoboda;Our Ukraine;823;604;25;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;Svoboda;UNA-UNSO;823;920;25;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;For Ukraine;Our Ukraine;310;604;25;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;For Ukraine;UNA-UNSO;310;920;25;2012
29.01.2012;Svoboda, For Ukraine, Our Ukraine, UNA-UNSO;Our Ukraine;UNA-UNSO;604;920;25;2012
29.01.2012;Svoboda, Sokil;Svoboda;Sokil;823;768;5;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Autonomous Resistance;Nastup;72;539;4;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Autonomous Resistance;Step;72;790;4;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Autonomous Resistance;Ukrainian club;72;887;4;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Nastup;Step;539;790;4;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Nastup;Ukrainian club;539;887;4;2012
29.01.2012;Autonomous Resistance, Nastup, Step, Kryvorizhya Ukrainian club;Step;Ukrainian club;790;887;4;2012
29.01.2012;AST, Left Opposition, Borotba;AST;Left Opposition;67;477;10;2012
29.01.2012;AST, Left Opposition, Borotba;AST;Borotba;67;93;10;2012
29.01.2012;AST, Left Opposition, Borotba;Left Opposition;Borotba;477;93;10;2012
29.01.2012;Svoboda, Sokil;Svoboda;Sokil;823;768;14;2012
29.01.2012;Svoboda, Sokil, KUN;Svoboda;Sokil;823;768;15;2012
29.01.2012;Svoboda, Sokil, KUN;Svoboda;KUN;823;454;15;2012
29.01.2012;Svoboda, Sokil, KUN;Sokil;KUN;768;454;15;2012
29.01.2012;Svoboda, NRU, Prosvita;Svoboda;NRU;823;572;18;2012
29.01.2012;Svoboda, NRU, Prosvita;Svoboda;Prosvita;823;658;18;2012
29.01.2012;Svoboda, NRU, Prosvita;NRU;Prosvita;572;658;18;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;KUN;969;454;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;Our Ukraine;969;604;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;Tryzub;969;868;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;Country Renewal;969;207;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;Ukrainian Party;969;900;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);UNP;Youth nationalist congress (MNK);969;1055;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);KUN;Our Ukraine;454;604;19;2012
29.01.2012;UNP, KUN, Our Ukraine, Tryzub, Country Renewal, Ukrainian Party, Youth nationalist congress (MNK);KUN;Tryzub;454;868;19;2012
